Chr	Pos_start	Pos_end	Coverage	Methylation	Strand
bctg00000000_np1212	    594	    595	1	1	-
bctg00000000_np1212	   1147	   1148	1	1	-
bctg00000000_np1212	   1996	   1997	1	1	-
bctg00000000_np1212	   2609	   2610	1	1	-
bctg00000000_np1212	   3056	   3057	1	1	-
bctg00000000_np1212	   3290	   3291	1	1	-
bctg00000000_np1212	   3341	   3342	1	1	-
bctg00000000_np1212	   3470	   3471	1	1	-
bctg00000000_np1212	   3884	   3885	1	1	-
bctg00000000_np1212	   4275	   4276	1	1	-
bctg00000000_np1212	   5219	   5220	1	1	-
bctg00000000_np1212	   7020	   7021	1	1	-
bctg00000000_np1212	   7089	   7090	2	1	-
bctg00000000_np1212	   8208	   8209	2	1	-
bctg00000000_np1212	   8444	   8445	2	0.5	-
bctg00000000_np1212	   8528	   8529	2	1	-
bctg00000000_np1212	   9396	   9397	2	1	-
bctg00000000_np1212	   9407	   9408	1	0	-
bctg00000000_np1212	   9806	   9807	2	1	-
bctg00000000_np1212	  10685	  10686	2	1	-
bctg00000000_np1212	  10915	  10916	2	0.5	-
bctg00000000_np1212	  11309	  11310	1	1	-
bctg00000000_np1212	  12523	  12524	1	1	-
bctg00000000_np1212	  12539	  12540	1	1	-
bctg00000000_np1212	  13498	  13499	1	0	-
bctg00000000_np1212	  13720	  13721	1	1	-
bctg00000000_np1212	  13880	  13881	1	1	+
bctg00000000_np1212	  13882	  13883	1	1	-
bctg00000000_np1212	  14636	  14637	1	1	+
bctg00000000_np1212	  14638	  14639	2	1	-
bctg00000000_np1212	  15110	  15111	2	1	+
bctg00000000_np1212	  15112	  15113	2	1	-
bctg00000000_np1212	  15830	  15831	2	1	+
bctg00000000_np1212	  15832	  15833	2	1	-
bctg00000000_np1212	  15886	  15887	1	1	+
bctg00000000_np1212	  15888	  15889	1	1	-
bctg00000000_np1212	  16141	  16142	1	1	+
bctg00000000_np1212	  16143	  16144	2	0.5	-
bctg00000000_np1212	  16234	  16235	1	1	+
bctg00000000_np1212	  16876	  16877	1	1	+
bctg00000000_np1212	  17935	  17936	1	1	+
bctg00000000_np1212	  17937	  17938	2	1	-
bctg00000000_np1212	  18005	  18006	1	1	-
bctg00000000_np1212	  18156	  18157	2	1	-
bctg00000000_np1212	  18256	  18257	1	1	-
bctg00000000_np1212	  19168	  19169	1	1	-
bctg00000000_np1212	  19522	  19523	2	1	-
bctg00000000_np1212	  19585	  19586	3	1	-
